1|5943
2|6709
3|5691
4|7409
5|7634
6|13281
7|2449
8|7044
9|6893
10|8637
11|6975
12|3395
13|7125
14|6588
15|8305
16|12377
17|11701
18|3421
19|8416
20|2859
21|5529
22|8407
23|3121
24|5622
25|4422
26|7381
27|3934
28|5832
29|3918
30|1631
31|3277
32|4037
33|5088
34|8344
35|5575
36|5417
37|2747
38|3269
39|5248
40|4027
41|4821
42|6424
43|3627
44|3151
45|4763
46|4472
47|6055
48|3305
49|5047
50|4445
51|3144
52|1832
53|3796
54|4129
55|6980
56|4034
57|5035
58|5872
59|4157
60|9861
61|7699
62|4748
63|7963
64|6657
65|4723
66|12330
67|17298
68|10999
69|8867
